Date,AAPL,MSFT,TSLA
2019-04-25,48.96012496948242,121.0784683227539,16.5086669921875
2019-04-26,48.72639846801758,121.7722396850586,15.675999641418457
2019-04-29,48.80032730102539,121.65973663330078,16.097999572753906
2019-04-30,47.860633850097656,122.43787384033203,15.912667274475098
2019-05-01,50.20988464355469,119.88787078857422,15.600666999816895
2019-05-02,49.883140563964844,118.3222427368164,16.273332595825195
2019-05-03,50.50325393676758,120.84410095214844,17.00200080871582
2019-05-06,49.72334289550781,120.14098358154297,17.022666931152344
2019-05-07,48.38294982910156,117.67537689208984,16.470666885375977
2019-05-08,48.39248275756836,117.66600036621094,16.32266616821289
2019-05-09,47.87254333496094,117.65660095214844,16.131999969482422
2019-05-10,47.209354400634766,119.18473815917969,15.968000411987305
2019-05-13,44.46555709838867,115.64098358154297,15.133999824523926
2019-05-14,45.16947555541992,116.93473052978516,15.487333297729492
2019-05-15,45.71056365966797,118.58143615722656,15.463333129882812
2019-05-16,45.50945281982422,121.31967163085938,15.222000122070312
2019-05-17,45.250877380371094,120.51044464111328,14.0686674118042
2019-05-20,43.83589553833008,118.7696304321289,13.690667152404785
2019-05-21,44.67626190185547,119.40950012207031,13.67199993133545
2019-05-22,43.76166534423828,120.13404083251953,12.84866714477539
2019-05-23,43.0146598815918,118.73198699951172,13.03266716003418
2019-05-24,42.849456787109375,118.7884521484375,12.708666801452637
2019-05-28,42.67229461669922,118.7131576538086,12.579999923706055
2019-05-29,42.468772888183594,117.56519317626953,12.657333374023438
2019-05-30,42.68904495239258,118.3085708618164,12.54800033569336
2019-05-31,41.91571044921875,116.37957000732422,12.343999862670898
2019-06-03,41.4919319152832,112.76622772216797,11.9313325881958
2019-06-04,43.0098762512207,115.8902587890625,12.90666675567627
2019-06-05,43.70419692993164,118.4026870727539,13.105999946594238
2019-06-06,44.345863342285156,120.27518463134766,13.729999542236328
2019-06-07,45.52619934082031,123.64387512207031,13.633333206176758
2019-06-10,46.108001708984375,124.7730484008789,14.192000389099121
2019-06-11,46.641902923583984,124.30253601074219,14.473333358764648
